goos: freebsd
goarch: amd64
cpu: Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz
                                 │ linear.txt  │
                                 │   sec/op    │
Get/Btree/Sawtooth/Order-80-8      91.69n ± 0%
Get/Btree/Sawtooth/Order-82-8      90.89n ± 0%
Get/Btree/Sawtooth/Order-84-8      90.22n ± 0%
Get/Btree/Sawtooth/Order-86-8      89.96n ± 0%
Get/Btree/Sawtooth/Order-88-8      89.26n ± 0%
Get/Btree/Sawtooth/Order-90-8      88.73n ± 0%
Get/Btree/Sawtooth/Order-92-8      88.43n ± 0%
Get/Btree/Sawtooth/Order-94-8      88.00n ± 0%
Get/Btree/Sawtooth/Order-96-8      87.93n ± 0%
Get/Btree/Sawtooth/Order-98-8      87.79n ± 1%
Get/Btree/Sawtooth/Order-100-8     87.81n ± 1%
Get/Btree/Sawtooth/Order-102-8     87.66n ± 1%
Get/Btree/Sawtooth/Order-104-8     87.23n ± 0%
Get/Btree/Sawtooth/Order-106-8     87.15n ± 0%
Get/Btree/Sawtooth/Order-108-8     87.42n ± 1%
Get/Btree/Sawtooth/Order-110-8     87.35n ± 0%
Get/Btree/Sawtooth/Order-112-8     87.28n ± 0%
Get/Btree/Sawtooth/Order-114-8     87.35n ± 1%
Get/Btree/Sawtooth/Order-116-8     87.63n ± 0%
Get/Btree/Sawtooth/Order-118-8     87.67n ± 0%
Get/Btree/Sawtooth/Order-120-8     87.81n ± 0%
Get/Btree/Sawtooth/Order-122-8     88.03n ± 1%
Get/Btree/Sawtooth/Order-124-8     88.23n ± 0%
Get/Btree/Sawtooth/Order-126-8     88.59n ± 1%
Get/Btree/Sawtooth/Order-128-8     89.03n ± 1%
Get/Btree/Sawtooth/Order-130-8     88.91n ± 0%
Get/Btree/Sawtooth/Order-132-8     89.12n ± 1%
Get/Btree/Sawtooth/Order-134-8     89.45n ± 0%
Get/Btree/Sawtooth/Order-136-8     90.25n ± 1%
Get/Btree/Sawtooth/Order-138-8     90.82n ± 1%
Get/Btree/Sawtooth/Order-140-8     90.23n ± 0%
Get/Btree/Sawtooth/Order-142-8     90.42n ± 0%
Get/Btree/Sawtooth/Order-144-8     90.95n ± 0%
Get/Btree/Sawtooth/Order-146-8     90.52n ± 0%
Get/Btree/Sawtooth/Order-148-8     91.15n ± 1%
Get/Btree/Sawtooth/Order-150-8     91.83n ± 0%
Get/Btree/Sawtooth/Order-152-8     91.39n ± 0%
Get/Btree/Sawtooth/Order-154-8     92.28n ± 0%
Get/Btree/Sawtooth/Order-156-8     91.89n ± 0%
Get/Btree/Sawtooth/Order-158-8     92.86n ± 0%
Get/Btree/Sawtooth/Order-160-8     92.36n ± 0%
Get/Btree/Sawtooth/Order-162-8     93.50n ± 2%
Get/Btree/Sawtooth/Order-164-8     93.06n ± 0%
Get/Btree/Sawtooth/Order-166-8     94.55n ± 1%
Get/Btree/Sawtooth/Order-168-8     93.57n ± 1%
Get/Btree/Sawtooth/Order-170-8     93.98n ± 1%
Get/Btree/Sawtooth/Order-172-8     95.14n ± 0%
Get/Btree/Sawtooth/Order-174-8     94.39n ± 1%
